file_name,extension,size,duration,video_codec,audio_codec,resolution
03 - The Holocrons of Fate.mp4,.mp4,0.13 GB,0:22:06,h264,aac,1280x720
04 - The Antilles Extraction.mp4,.mp4,0.13 GB,0:22:06,h264,aac,1280x720
05 - Hera Heroes.mp4,.mp4,0.14 GB,0:22:06,h264,aac,1280x720
06 - The Last Battle.mp4,.mp4,0.17 GB,0:22:06,h264,aac,1280x720
07 - Imperial Supercommandos.mp4,.mp4,0.13 GB,0:22:06,h264,aac,1280x720
08 - Iron Squadron.mp4,.mp4,0.14 GB,0:22:06,h264,aac,1280x720
09 - The Wynkahthu Job.mp4,.mp4,0.17 GB,0:22:06,h264,aac,1280x720
10 - An Inside Man.mp4,.mp4,0.16 GB,0:22:06,h264,aac,1280x720
11 - Visions and Voices.mp4,.mp4,0.14 GB,0:22:06,h264,aac,1280x720
12 - Ghosts of Geonosis.mp4,.mp4,0.15 GB,0:22:06,h264,aac,1280x720
13 - Ghosts of Geonosis.mp4,.mp4,0.14 GB,0:22:06,h264,aac,1280x720
14 - Warhead.mp4,.mp4,0.14 GB,0:22:06,h264,aac,1280x720
15 - Trials of the Darksaber.mp4,.mp4,0.14 GB,0:22:06,h264,aac,1280x720
16 - Legacy of Mandalore.mp4,.mp4,0.19 GB,0:22:06,h264,aac,1280x720
17 - Through Imperial Eyes.mp4,.mp4,0.12 GB,0:22:06,h264,aac,1280x720
18 - Secret Cargo.mp4,.mp4,0.17 GB,0:22:06,h264,aac,1280x720
19 - Double Agent Droid.mp4,.mp4,0.13 GB,0:22:06,h264,aac,1280x720
20 - Twin Suns.mp4,.mp4,0.13 GB,0:22:06,h264,aac,1280x720
21 - Zero Hour.mp4,.mp4,0.15 GB,0:22:06,h264,aac,1280x720
22 - Zero Hour.mp4,.mp4,0.16 GB,0:22:06,h264,aac,1280x720
01 - Heroes of Mandalore.mp4,.mp4,0.19 GB,0:21:37,h264,aac,1280x720
02 - Heroes of Mandalore.mp4,.mp4,0.19 GB,0:22:07,h264,aac,1280x720
03 - In the Name of the Rebellion.mp4,.mp4,0.17 GB,0:22:07,h264,aac,1280x720
04 - In the Name of the Rebellion.mp4,.mp4,0.15 GB,0:22:07,h264,aac,1280x720
05 - The Occupation.mp4,.mp4,0.12 GB,0:22:07,h264,aac,1280x720
06 - Flight of the Defender.mp4,.mp4,0.16 GB,0:22:07,h264,aac,1280x720
07 - Kindred.mp4,.mp4,0.14 GB,0:21:37,h264,aac,1280x720
08 - Crawler Commandeers.mp4,.mp4,0.15 GB,0:22:07,h264,aac,1280x720
09 - Rebel Assault.mp4,.mp4,0.15 GB,0:22:07,h264,aac,1280x720
10 - Jedi Night.mp4,.mp4,0.15 GB,0:22:37,h264,aac,1280x720
11 - DUME.mp4,.mp4,0.12 GB,0:22:07,h264,aac,1280x720
12 - Wolves and a Door.mp4,.mp4,0.16 GB,0:22:07,h264,aac,1280x720
13 - A World Between Worlds.mp4,.mp4,0.21 GB,0:23:07,h264,aac,1280x720
