file_name,extension,size,duration,video_codec,audio_codec,resolution
The.Croods.1.2013.1080p.BluRay.x265.mp4,.mp4,1.54 GB,1:38:36,hevc,aac,1920x816
The.Croods.2.A.New.Age.2020.1080p.BluRay.x265.mp4,.mp4,1.48 GB,1:35:14,hevc,aac,1920x814
The.Prince.of.Egypt.1998.1080p.BluRay.x265.mp4,.mp4,1.55 GB,1:39:10,hevc,aac,1920x1036
The.Road.To.El.Dorado.2000.1080p.BluRay.x265.mp4,.mp4,1.40 GB,1:29:49,hevc,aac,1920x1080
Wallace.And.Gromit.The.Curse.Of.The.Were-Rabbit.2005.1080p.BluRay.x265.mp4,.mp4,1.32 GB,1:24:59,hevc,aac,1920x1036
Despicable.Me.1.2010.1080p.BluRay.x265.mp4,.mp4,1.48 GB,1:34:48,hevc,aac,1920x1040
Despicable.Me.2.2013.1080p.BluRay.x265.mp4,.mp4,1.53 GB,1:37:58,hevc,aac,1920x1036
Despicable.Me.3.2017.1080p.BluRay.x265.mp4,.mp4,1.40 GB,1:29:40,hevc,aac,1920x804
Minions.2015.1080p.BluRay.x265.mp4,.mp4,1.42 GB,1:30:58,hevc,aac,1920x1036
Minions.The.Rise.of.Gru.2022.1080p.BluRay.x265.mp4,.mp4,1.36 GB,1:27:25,hevc,aac,1920x804
Sing.2016.1080p.BluRay.x265.mp4,.mp4,1.68 GB,1:47:53,hevc,aac,1920x1036
The.Grinch.2018.1080p.BluRay.x265.mp4,.mp4,1.34 GB,1:25:49,hevc,aac,1920x804
The.Lorax.2012.1080p.BluRay.x265.mp4,.mp4,1.35 GB,1:26:18,hevc,aac,1920x1040
Mulan.1998.1080p.BluRay.x265.mp4,.mp4,1.37 GB,1:27:50,hevc,aac,1816x1080
A.Bugs.Life.1998.1080p.BluRay.x265.mp4,.mp4,1.48 GB,1:34:53,hevc,aac,1920x816
Brave.2012.1080p.BluRay.x265.mp4,.mp4,1.47 GB,1:34:12,hevc,aac,1920x802
Cars.1.2006.1080p.BluRay.x265.srt.mp4,.mp4,1.82 GB,1:56:36,hevc,aac,1920x802
Cars.2.2011.1080p.BluRay.x265.mp4,.mp4,1.66 GB,1:46:16,hevc,aac,1920x802
Cars.3.2017.1080p.BluRay.x265.mp4,.mp4,1.60 GB,1:42:25,hevc,aac,1920x804
Coco.2017.1080p.BluRay.x265.mp4,.mp4,1.64 GB,1:45:02,hevc,aac,1920x804
Finding.Dory.2016.1080p.BluRay.x265.mp4,.mp4,1.51 GB,1:37:03,hevc,aac,1920x1080
Finding.Nemo.2003.1080p.BluRay.x265.mp4,.mp4,1.57 GB,1:40:54,hevc,aac,1920x1080
Inside.Out.2015.1080p.BluRay.x265.mp4,.mp4,1.47 GB,1:34:37,hevc,aac,1920x1080
